tweet_id,customer_text,amazon_response,intent,valid
91442,"@AmazonHelp Hi! The tracking information attached! https://t.co/cLGsDEYzGT","@135821 Hi Danielle, there is no need for concern here. Your delivery should be with you today as per your tracking! If for any reason it doesn't show up by 8PM today please get back in touch. ^HS",order_delivery,True
118770,"Amazonプライムで良かった！！今夜は徹夜かな笑 https://t.co/oARvkbiY5f","@142326 Amazonビデオをご利用いただきありがとうございます🙇　「逃げるは恥だが役に立つ」は、プライム・ビデオ対象作品ではございませんが、レンタルでお楽しみいただけますので、よろしければ、お楽しみくださいませ☺️　SM",INVALID,False
93533,"@AmazonHelp Done.","@136273 Great! Someone will be responding to you about your inquiry. Please make sure to check your e-mail. ^GP",INVALID,False
50767,"@115821 @120533 @AmazonHelp @127390 #TurtlesAllTheWayDown Et je ne pense pas être la seule...? Has this happened to someone else? https://t.co/cnkB2p99RQ","@127389 Bonsoir, je suis désolée pour cela. Avez-vous passé votre commande sur Amazon.fr ? ^SB",other,True
95309,"@AmazonHelp Par amazon. Y a-t-il une possibilite pour que vous m'expediez la recharge 2018 s'il vous plait?","@136726 N’ayant pas accès à votre compte sur Twitter, je vous invite à contacter notre SAVvia le lien suivant : https://t.co/qzuu0dgDXz ^MD",product_issue,True
69750,"J’espère que les #cm après le #blackfriday ont le droit à un week-end tout frais payés au Bahamas. Bon courage à vous si vous me lisez💪.  @7665 @131800 @120533 et tous les autres 🙂 https://t.co/peSQKdaSRA","@131799 Nous vous avons lu et avons envoyé la suggestion à notre Boss 😁 Si c'est accepté, vous venez avec nous? 😜 PS: nous sommes déjà super EXCITED 🌞🏝️ https://t.co/y5UPVNVDFj",INVALID,False
122772,"@AmazonHelp Y así fue, no me ha llegado el paquete en todo el día. Pagar Prime para esto..","@143392 Por favor reporta lo sucedido a través de nuestro Soporte al Cliente acá: https://t.co/MkpdPM4oxg. ^JQ",order_delivery,True
43704,"入ってよかった、Amazonプライム。 ダンバインにエルガイムが全話観れるなんて。 https://t.co/6gSoaeETMN","@125694 Amazonプライムのご登録ありがとうございます(＾◇＾) お喜びいただけて、何よりです(*^o^*) 色々なコンテンツをご準備しておりますので、是非存分にお楽しみください♪TY",INVALID,False
49159,"@115830 stop with the crazy excess packaging.  #waste #environment https://t.co/24Ph7eyF6M","@126982 So sorry! Our packaging team would love to hear your feedback! You can complete that here: https://t.co/BPG47gr0q7 ^LS",other,True
103047,"@AmazonHelp Transporteur : Amazon Logistics","@138662 Afin d'effectuer une réclamation sur les circonstances de cette livraison, merci de nous transmettre votre numéro de suivi. ^KD",order_delivery,True
